property_id,source_url,price_features_date_check
M030,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M031,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M032,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M033,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M034,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M035,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M036,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M037,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M038,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M039,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
